R (ang),V=0,V=1,V=2,V=3,V=4,V=5,V=6,V=7,V=8,V=9,E (wavenumbers),,,,,,,,,,
1.400000,0,0,0,0,0,0,0,0,0,0,279,,,,,,,,,,
1.405669,0,0,0,0,0,0,0,0,0,0,827.5,,,,,,,,,,
1.411338,0,0,0,0,0,0,0,0,0,0,"1,367.10",,,,,,,,,,
1.417007,0,0,0,0,0,0,0,0,0,0,"1,897.20",,,,,,,,,,
1.422676,0,0,0,0,0,0,0,0,0,0,2418,,,,,,,,,,
1.428345,0,0,0,0,0,0,0,0,0,0,"2,929.40",,,,,,,,,,
1.434014,0,0,0,0,0,0,0,0,0,0,"3,430.90",,,,,,,,,,
1.439683,0,0,0,0,0,0,0,0,0,0,"3,922.20",,,,,,,,,,
1.445352,0,0,0,0,0,0,0,0,0,0,"4,403.30",,,,,,,,,,
1.451021,0,0,0,0,0,0,0,0,0,0,"4,874.00",,,,,,,,,,
1.456690,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,
1.462359,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,
1.468028,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,
1.473697,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,
1.479366,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,
1.485035,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,
1.490704,0,0,0,0,0,0,0,0,0,-0.00000001,,,,,,,,,,,
1.496373,0,0,0,0,0,0,0,0,0.00000001,-0.00000002,,,,,,,,,,,
1.502043,0,0,0,0,0,0,0,-0.00000001,0.00000001,-0.00000003,,,,,,,,,,,
1.507712,0,0,0,0,0,0,0,-0.00000001,0.00000002,-0.00000005,,,,,,,,,,,
1.513381,0,0,0,0,0,0,0.00000001,-0.00000002,0.00000004,-0.00000009,,,,,,,,,,,
1.519050,0,0,0,0,0,-0.00000001,0.00000002,-0.00000004,0.00000008,-0.00000016,,,,,,,,,,,
1.524719,0,0,0,0,0,-0.00000001,0.00000003,-0.00000006,0.00000014,-0.00000029,,,,,,,,,,,
1.530388,0,0,0,0,0.00000001,-0.00000002,0.00000005,-0.00000011,0.00000024,-0.0000005,,,,,,,,,,,
1.536057,0,0,0,0,0.00000001,-0.00000004,0.00000009,-0.0000002,0.00000042,-0.00000086,,,,,,,,,,,
1.541726,0,0,0,-0.00000001,0.00000002,-0.00000006,0.00000015,-0.00000034,0.00000073,-0.00000146,,,,,,,,,,,
1.547395,0,0,0,-0.00000001,0.00000004,-0.00000011,0.00000026,-0.00000059,0.00000124,-0.00000247,,,,,,,,,,,
1.553064,0,0,0.00000001,-0.00000002,0.00000007,-0.00000018,0.00000044,-0.00000099,0.00000208,-0.00000413,,,,,,,,,,,
1.558733,0,0,0.00000001,-0.00000004,0.00000012,-0.00000031,0.00000075,-0.00000166,0.00000347,-0.00000683,,,,,,,,,,,
1.564402,0,-0.00000001,0.00000002,-0.00000007,0.0000002,-0.00000053,0.00000125,-0.00000276,0.00000572,-0.00001118,,,,,,,,,,,
1.570071,0,-0.00000001,0.00000004,-0.00000012,0.00000034,-0.00000088,0.00000207,-0.00000454,0.00000933,-0.00001813,,,,,,,,,,,
1.575740,0,-0.00000002,0.00000006,-0.0000002,0.00000057,-0.00000145,0.0000034,-0.0000074,0.00001509,-0.00002909,,,,,,,,,,,
1.581409,0,-0.00000003,0.0000001,-0.00000033,0.00000094,-0.00000238,0.00000553,-0.00001193,0.00002415,-0.00004622,,,,,,,,,,,
1.587078,0.00000001,-0.00000004,0.00000017,-0.00000055,0.00000153,-0.00000386,0.0000089,-0.00001906,0.00003828,-0.0000727,,,,,,,,,,,
1.592747,0.00000001,-0.00000007,0.00000028,-0.00000089,0.00000248,-0.0000062,0.00001419,-0.00003015,0.00006009,-0.00011321,,,,,,,,,,,
1.598416,0.00000002,-0.00000012,0.00000046,-0.00000144,0.00000399,-0.00000988,0.00002242,-0.00004724,0.0000934,-0.00017457,,,,,,,,,,,
1.604085,0.00000004,-0.00000019,0.00000074,-0.00000232,0.00000634,-0.00001559,0.00003509,-0.00007332,0.00014378,-0.00026654,,,,,,,,,,,
1.609754,0.00000006,-0.00000031,0.00000118,-0.00000369,0.00001,-0.00002437,0.0000544,-0.00011273,0.0002192,-0.00040296,,,,,,,,,,,
1.615423,0.00000009,-0.0000005,0.00000188,-0.00000581,0.00001563,-0.00003776,0.00008357,-0.00017168,0.00033097,-0.00060324,,,,,,,,,,,
1.621092,0.00000015,-0.00000079,0.00000296,-0.00000908,0.00002421,-0.00005798,0.00012719,-0.000259,0.00049496,-0.00089424,,,,,,,,,,,
1.626761,0.00000024,-0.00000125,0.00000463,-0.00001406,0.00003717,-0.00008823,0.00019181,-0.00038708,0.00073311,-0.00131267,,,,,,,,,,,
1.632430,0.00000038,-0.00000195,0.00000717,-0.0000216,0.00005656,-0.00013305,0.00028661,-0.0005731,0.00107549,-0.00190811,,,,,,,,,,,
1.638099,0.00000059,-0.00000303,0.00001103,-0.0000329,0.00008534,-0.00019886,0.00042436,-0.00084063,0.00156276,-0.00274661,,,,,,,,,,,
1.643768,0.00000092,-0.00000466,0.00001681,-0.00004967,0.00012763,-0.00029459,0.00062264,-0.0012216,0.00224921,-0.00391507,,,,,,,,,,,
1.649437,0.00000142,-0.00000712,0.00002541,-0.00007436,0.00018924,-0.00043255,0.0009053,-0.00175878,0.00320645,-0.00552624,,,,,,,,,,,
1.655106,0.00000217,-0.00001078,0.00003809,-0.00011041,0.00027818,-0.00062953,0.00130443,-0.00250877,0.0045277,-0.00772441,,,,,,,,,,,
1.660775,0.00000329,-0.00001619,0.00005665,-0.00016255,0.00040543,-0.00090819,0.00186262,-0.00354556,0.00633273,-0.01069156,,,,,,,,,,,
1.666444,0.00000495,-0.00002412,0.00008357,-0.00023734,0.00058588,-0.00129878,0.00263585,-0.00496462,0.00877329,-0.01465375,,,,,,,,,,,
1.672113,0.00000739,-0.00003567,0.0001223,-0.00034369,0.00083947,-0.00184121,0.00369671,-0.00688758,0.01203897,-0.01988739,,,,,,,,,,,
1.677782,0.00001096,-0.00005234,0.00017754,-0.00049361,0.00119272,-0.00258757,0.00513822,-0.00946737,0.0163631,-0.02672483,,,,,,,,,,,
1.683451,0.00001612,-0.00007619,0.00025569,-0.00070317,0.00168039,-0.00360504,0.00707816,-0.01289353,0.02202836,-0.03555846,,,,,,,,,,,
1.689120,0.00002355,-0.00011008,0.00036535,-0.00099358,0.0023477,-0.00497929,0.00966365,-0.01739765,0.02937165,-0.04684258,,,,,,,,,,,
1.694789,0.00003415,-0.00015783,0.00051796,-0.00139261,0.00325271,-0.00681825,0.01307604,-0.02325841,0.03878724,-0.06109191,,,,,,,,,,,
1.700459,0.00004915,-0.0002246,0.00072862,-0.00193624,0.0044692,-0.00925618,0.01753579,-0.03080573,0.05072777,-0.07887539,,,,,,,,,,,
1.706128,0.00007022,-0.00031721,0.00101703,-0.0026706,0.00608988,-0.01245802,0.02330693,-0.04042342,0.06570169,-0.10080428,,,,,,,,,,,
1.711797,0.00009961,-0.00044469,0.00140871,-0.00365418,0.00822981,-0.01662368,0.03070086,-0.05254963,0.08426635,-0.12751309,,,,,,,,,,,
1.717466,0.0001403,-0.00061879,0.00193633,-0.00496041,0.01103017,-0.02199211,0.04007869,-0.06767413,0.10701557,-0.15963229,,,,,,,,,,,
1.723135,0.00019621,-0.00085477,0.00264136,-0.00668045,0.01466195,-0.02884476,0.05185174,-0.08633156,0.13456049,-0.19775215,,,,,,,,,,,
1.728804,0.00027247,-0.00117214,0.00357588,-0.00892617,0.01932963,-0.03750802,0.06647927,-0.10908961,0.16750299,-0.24237721,,,,,,,,,,,
1.734473,0.00037574,-0.00159576,0.00480465,-0.01183334,0.02527445,-0.04835407,0.08446272,-0.13653136,0.20640092,-0.29387191,,,,,,,,,,,
1.740142,0.00051458,-0.00215688,0.0064074,-0.01556476,0.0327769,-0.06179955,0.10633568,-0.1692308,0.25172499,-0.35239847,,,,,,,,,,,
1.745811,0.0006999,-0.00289455,0.00848121,-0.02031322,0.04215821,-0.07830153,0.13264868,-0.20772125,0.30380792,-0.41784949,,,,,,,,,,,
1.751480,0.00094551,-0.00385701,0.01114306,-0.02630414,0.05378024,-0.09834984,0.16394834,-0.25245639,0.36278686,-0.48977849,,,,,,,,,,,
1.757149,0.00126872,-0.00510335,0.01453234,-0.03379746,0.06804329,-0.12245541,0.20075024,-0.30376442,0.42854143,-0.56733316,,,,,,,,,,,
1.762818,0.00169106,-0.00670525,0.01881325,-0.04308867,0.08538135,-0.15113386,0.24350551,-0.36179645,0.50063042,-0.64919721,,,,,,,,,,,
1.768487,0.0022391,-0.00874879,0.02417696,-0.0545085,0.10625436,-0.18488401,0.29256148,-0.42647096,0.57823153,-0.73354749,,,,,,,,,,,
1.774156,0.00294531,-0.01133636,0.03084325,-0.06842088,0.13113672,-0.22416113,0.3481171,-0.49741709,0.66008912,-0.81803368,,,,,,,,,,,
1.779825,0.00384906,-0.01458847,0.03906155,-0.08521892,0.16050205,-0.26934508,0.41017467,-0.57392014,0.74447584,-0.89978787,,,,,,,,,,,
1.785494,0.0049977,-0.01864552,0.04911104,-0.10531832,0.1948036,-0.3207037,0.47848981,-0.65487363,0.82917442,-0.97547055,,,,,,,,,,,
1.791163,0.00644765,-0.02366928,0.06129958,-0.1291481,0.23445047,-0.37835251,0.55252253,-0.7387427,0.91148584,-1.04135856,,,,,,,,,,,
1.796832,0.00826556,-0.02984413,0.07596122,-0.15713817,0.2797797,-0.44221211,0.63139263,-0.82354426,0.98826959,-1.09347788,,,,,,,,,,,
1.802501,0.01052949,-0.0373777,0.09345195,-0.18970363,0.33102481,-0.51196521,0.71384346,-0.90684905,1.05602069,-1.12778162,,,,,,,,,,,
1.808170,0.01333001,-0.04650098,0.11414359,-0.22722584,0.38828156,-0.58701573,0.79821813,-0.98581052,1.11098602,-1.14036943,,,,,,,,,,,
1.813839,0.01677126,-0.05746761,0.13841542,-0.27003028,0.45147212,-0.66645278,0.88245262,-1.05722454,1.14932013,-1.1277406,,,,,,,,,,,
1.819508,0.02097185,-0.07055218,0.16664356,-0.31836157,0.52030915,-0.74902278,0.96408963,-1.11762238,1.16727777,-1.08706862,,,,,,,,,,,
1.825177,0.02606556,-0.08604742,0.19918786,-0.37235615,0.59426177,-0.833113,1.04031711,-1.16339787,1.16143687,-1.01648101,,,,,,,,,,,
1.830846,0.03220177,-0.10426014,0.23637655,-0.43201365,0.67252563,-0.9167501,1.10803397,-1.19096719,1.1289423,-0.91532451,,,,,,,,,,,
1.836515,0.03954557,-0.1255057,0.27848852,-0.49716777,0.75399951,-0.99761668,1.16394433,-1.19695675,1.06775692,-0.78439316,,,,,,,,,,,
1.842184,0.04827735,-0.15010109,0.3257338,-0.56745817,0.83727107,-1.07308856,1.2046802,-1.17841231,0.97690372,-0.62609583,,,,,,,,,,,
1.847853,0.05859202,-0.17835633,0.37823245,-0.64230486,0.9206143,-1.14029461,1.2269499,-1.13301908,0.85668032,-0.44454064,,,,,,,,,,,
1.853522,0.07069751,-0.2105644,0.43599262,-0.72088678,1.00200101,-1.19619992,1.22770821,-1.05932026,0.70882617,-0.24551656,,,,,,,,,,,
1.859191,0.08481272,-0.24698969,0.49888851,-0.80212646,1.07912846,-1.23771185,1.20434122,-0.95691944,0.53662323,-0.03635788,,,,,,,,,,,
1.864860,0.10116473,-0.28785525,0.56663932,-0.88468307,1.14946515,-1.26180748,1.15485782,-0.82665129,0.34491276,0.17431568,,,,,,,,,,,
