R,GS,1 3_,2 3_,3 3_,4 3_,1_2,1_3,2_3,3_4
1.4,34587.85712,66251.45809,37595.69028,72907.62624,53688.17802,0.5784,2082.9819,0,0
1.405669029,33349.85954,64675.62615,36594.62023,71621.01187,52611.60486,0.7142,2170.5447,0,0
1.411338058,32138.04335,63129.19313,35615.39543,70363.58405,51563.47804,0.8793,2258.1569,0,0
1.417007086,30952.01551,61611.67372,34657.73798,69134.8703,50543.26389,1.0796,2345.5335,0,0
1.422676115,29791.38292,60122.5826,33721.36997,67934.3981,49550.42871,1.3216,2432.3792,0,0
1.428345144,28655.75254,58661.43446,32806.01351,66761.69495,48584.43882,1.6134,2518.3905,0,0
1.434014173,27544.73128,57227.74399,31911.39068,65616.28837,47644.76052,1.9638,2603.2567,0,0
1.439683201,26457.92609,55821.02587,31037.22359,64497.70583,46730.86012,2.3836,2686.662,0,0
1.44535223,25394.94389,54440.79479,30183.23433,63405.47486,45842.20394,2.8849,2768.2877,0,0
1.451021259,24355.39162,53086.56544,29349.145,62339.12293,44978.25828,3.4816,2847.8135,0,0
1.456690288,23338.87621,51757.8525,28534.67769,61298.17756,44138.48946,4.1898,2924.9201,0,0
1.462359316,22345.00459,50454.17067,27739.5545,60282.16624,43322.36379,5.0277,2999.291,0,0
1.468028345,21373.38369,49175.03462,26963.49752,59290.61647,42529.34757,6.0159,3070.6147,0,0
1.473697374,20423.62045,47919.95906,26206.22886,58323.05575,41758.90712,7.1778,3138.5871,0,0
1.479366403,19495.32179,46688.45866,25467.4706,57379.01157,41010.50875,8.5396,3202.9133,0,0
1.485035431,18588.09466,45480.04811,24746.94485,56458.01145,40283.61877,10.1309,3263.3099,0,0
1.49070446,17701.54598,44294.2421,24044.3737,55559.58288,39577.70348,11.9844,3319.5069,0,0
1.496373489,16835.28269,43130.55531,23359.47924,54683.25335,38892.22921,14.1366,3371.2502,0,0
1.502042518,15988.9121,41988.50489,22691.98324,53828.55306,38226.66276,16.6277,3418.3027,0,0
1.507711546,15162.06102,40867.73009,22041.59059,52995.14635,37580.49594,19.502,3460.4469,0,0
1.513380575,14354.38434,39768.04635,21407.9819,52182.8911,36953.25664,22.8079,3497.486,0,0
1.519049604,13565.53915,38689.28283,20790.83586,51391.66026,36344.47554,26.598,3529.246,0,0
1.524718633,12795.18251,37631.26867,20189.83117,50621.32677,35753.68334,30.9296,3555.5763,0,0
1.530387662,12042.97153,36593.83303,19604.64652,49871.76359,35180.41071,35.8639,3576.3516,0,0
1.53605669,11308.56328,35576.80508,19034.96063,49142.84365,34624.18835,41.4668,3591.4726,0,0
1.541725719,10591.61483,34580.01395,18480.45218,48434.43992,34084.54695,47.8083,3600.8666,0,0
1.547394748,9891.783285,33603.28882,17940.79988,47746.42534,33561.01719,54.9624,3604.4885,0,0
1.553063777,9208.726728,32646.46304,17415.68552,47078.65756,33053.12949,63.0067,3602.3208,0,0
1.558732805,8542.122731,31709.45037,16904.85028,46430.70107,32560.40895,72.0224,3594.374,0,0
1.564401834,7891.666377,30792.23698,16408.08875,45801.85655,32082.37591,82.0932,3580.6864,0,0
1.570070863,7257.053375,29894.81157,15925.19743,45191.41531,31618.55051,93.3054,3561.3236,0,0
1.575739892,6637.979435,29017.16289,15455.97283,44598.66863,31168.45292,105.7463,3536.3783,0,0
1.58140892,6034.140266,28159.27966,15000.21145,44022.9078,30731.6033,119.5042,3505.9696,0,0
1.587077949,5445.231577,27321.15061,14557.7098,43463.42411,30307.5218,134.6668,3470.2415,0,0
1.592746978,4870.949077,26502.76446,14128.26436,42919.50884,29895.72859,151.3203,3429.3624,0,0
1.598416007,4310.988476,25704.10995,13711.67165,42390.45329,29495.74383,169.5483,3383.5236,0,0
1.604085035,3765.049267,24925.15023,13307.72807,41875.58094,29107.0883,189.43,3332.9375,0,0
